,location__village__name,vehicle__gear__position,location__city__block_name,location__town__name,location__house__number,location__county__name,mobility__heading__angle,location__city__name,vehicle__engine__rpm,vehicle__fog_light__front_status,location__country__code_provided,location__country__code,location__country__name,vehicle__brake__pressure,location__suburb__name,vehicle__fog_light__rear_status,location__road__name,location__municipality__name,location__quarter__name,manufacturer__category__value,location__house__address,location__latitude__value,vehicle__door__1_2_status,metadata__provider__name,location__region__name,location__altitude__value,location__farm__name,location__neighbourhood__name,vehicle__door__1_1_status,vehicle__door__2_2_status,location__polygon__geohash,location__island__name,vehicle__engine__status,location__district__name,location__gps__hdop,metadata__time__epoch,vehicle__turn_signals__status,location__longitude__value,location__continent__name,vehicle__door__2_1_status,vehicle__identification__otonomo_id,mobility__speed__value,vehicle__headlights__status,location__state__name,location__gps__satellites_count
0,,,,Meco,,Cuenca del Medio Jarama,179.0,,,,,es,Spain,,Alameda de las Monjas,,Carretera de Meco,,,VAN_LCV,,40.54501724243164,,ec10f1b2b9978bc790573cd4e0555edd31fef52bee299c89cf6bd6651e89b9f3,,,,,,,ezjwshgzy7h2,,,,,1577959555000,,-3.334419965744018,,,e1a59b64231cbb4f492137b08bb5c9c5,26.0,,,8.0
1,,,,Meco,,Cuenca del Medio Jarama,271.0,,,,,es,Spain,,Alameda de las Monjas,,Avenida del Olivo,,,VAN_LCV,,40.54511642456055,,ec10f1b2b9978bc790573cd4e0555edd31fef52bee299c89cf6bd6651e89b9f3,,,,,,,ezjwsjh27mdb,,,,,1577959547000,,-3.333863973617553,,,e1a59b64231cbb4f492137b08bb5c9c5,28.0,,,8.0
